table,use_case,recommended_now,chinese_equivalent,european_note,pqc_for_consideration,do_not_use,difference_note
Symmetric/AEAD,Bulk data encryption at rest,AES-256-GCM,SM4-GCM or SM4-CCM,BSI TR-02102 modern AEAD baseline,No symmetric algorithm change required,DES; 3DES; RC4; AES-ECB,SM4 uses 128-bit keys; AES baseline here is 256-bit
Symmetric/AEAD,High-performance software encryption,ChaCha20-Poly1305,No direct ShangMi equivalent used here,Use where platform support justifies it,No immediate change,Legacy stream ciphers,Prefer AES-256-GCM where compliance profile allows
Symmetric/AEAD,TLS 1.3 record protection,AES-256-GCM or ChaCha20-Poly1305,SM4-GCM or SM4-CCM (RFC 8998),BSI TLS guidance prefers TLS 1.3 AEAD,Hybrid key exchange rather than symmetric change,CBC-mode TLS suites,Chinese TLS profiles use SM4 with SM2/SM3
Key exchange / PKI,TLS / mTLS key exchange,ECDHE P-384 or X25519,SM2 key exchange,BSI strong modern ECC guidance,ML-KEM-768 hybrid,RSA key transport; static DH,Use SM2 only where China-specific profile required
Key exchange / PKI,Small-payload public-key encryption,RSA-4096 OAEP only for legacy; prefer envelope designs,SM2 public-key encryption,Move away from legacy RSA padding profiles,ML-KEM-768,RSA PKCS#1 v1.5; RSA < 2048,SM2 is narrower outside China
Key exchange / PKI,Server certificate authentication,ECDSA P-384 preferred; Ed25519 where supported,SM2 with SM3 cert profile,BSI strong signature guidance,ML-DSA hybrid pilots,SHA-1 certs; RSA PKCS#1 v1.5,May need dual trust models
Signatures / Hash / MAC,Digital signatures for applications,ECDSA P-384; Ed25519,SM2 + SM3,BSI longer-term signature guidance,ML-DSA-65; SLH-DSA,RSA PKCS#1 v1.5; DSA; SHA-1 signatures,SM2 plays ECDSA-like role with different profile rules
Signatures / Hash / MAC,Hashing / integrity,SHA-256 minimum; SHA-384 preferred; SHA-3 for selected uses,SM3,Modern hash baseline,Larger-output hashes for long-lived assurance,MD5; SHA-1,SM3 is role-equivalent to SHA-256 in many China stacks
Signatures / Hash / MAC,Message authentication,HMAC-SHA256 or HMAC-SHA384,HMAC-SM3,Strong keyed MAC baseline,No immediate change,HMAC-MD5; HMAC-SHA1 for new designs,Default to HMAC-SHA256 globally
Signatures / Hash / MAC,Password storage,Argon2id; PBKDF2-SHA256 in constrained FIPS contexts,No mainstream Chinese equivalent included here,Use memory-hard password hashing where possible,No immediate change,Unsalted SHA-256; MD5; reversible encryption,Password storage kept separate from ShangMi adoption
Protocols / Transition,Web / API transport,TLS 1.3,RFC 8998 ShangMi TLS 1.3 suites,BSI recommends TLS 1.3,Hybrid TLS as standards mature,SSLv3; TLS 1.0; TLS 1.1,Chinese profile changes both handshake and record algorithms
Protocols / Transition,SSH access,Ed25519 host keys; ECDSA P-384 acceptable,No mainstream ShangMi SSH profile included here,Use strong keys and MACs,Track PQC SSH maturity,DSA; small RSA; weak MACs,Use global SSH standards unless explicitly required
Protocols / Transition,Long-term asymmetric protection,Strong classical algorithms now with migration plan,SM2 for interoperability only,Classic-only mechanisms have limited horizon,ML-KEM-768; ML-DSA-65,Classical-only long-term assumptions beyond transition horizon,Use NIST PQC as planning baseline
